code	name	memory	valid	pchfix	mode	code
E0	CPX	-	T	F	IMMEDIATE	T(X - T), C(T < 0x100), N, Z
E1	SBC	R	T	F	PRE_INDIRECT_X	T(A - T - (C ? 0 : 1)), N, Z, V((A ^ T) & (A ^ O) & 0x80), C(T < 0x100), A
E2	NOP	-	F	F	IMMEDIATE
E3	ISC	RMW	F	F	PRE_INDIRECT_X	T(R), W, T((T + 1) & 0xff), W, M(T), T(A - T - (C ? 0 : 1)), N, Z, V((A ^ T) & (A ^ M) & 0x80), C(T < 0x100), A
E4	CPX	R	T	F	ZERO_PAGE	@E0
E5	SBC	R	T	F	ZERO_PAGE	@E1
E6	INC	RMW	T	F	ZERO_PAGE	T(R), W, T(T + 1), N, Z, W
E7	ISC	RMW	F	F	ZERO_PAGE	@E3
E8	INX	-	T	F	IMPLIED	X(X + 1), N(X), Z(X)
E9	SBC	-	T	F	IMMEDIATE	@E1
EA	NOP	-	T	F	IMPLIED
EB	SBC	-	F	F	IMMEDIATE	@E1
EC	CPX	R	T	F	ABSOLUTE	@E0
ED	SBC	R	T	F	ABSOLUTE	@E1
EE	INC	RMW	T	F	ABSOLUTE	@E6
EF	ISC	RMW	F	F	ABSOLUTE	@E3
F0	BEQ	W	T	F	RELATIVE	B(Z)
F1	SBC	R	T	T	POST_INDIRECT_Y	@E1
F2	STP	-	F	F	IMPLIED	@02
F3	ISC	RMW	F	T	POST_INDIRECT_Y	@E3
F4	NOP	R	F	F	ZERO_PAGE_X
F5	SBC	R	T	F	ZERO_PAGE_X	@E1
F6	INC	RMW	T	F	ZERO_PAGE_X	@E6
F7	ISC	RMW	F	F	ZERO_PAGE_X	@E3
F8	SED	-	T	F	IMPLIED	D(1)
F9	SBC	R	T	T	ABSOLUTE_Y	@E1
FA	NOP	-	F	F	IMPLIED
FB	ISC	RMW	F	T	ABSOLUTE_Y	@E3
FC	NOP	R	F	T	ABSOLUTE_X
FD	SBC	R	T	T	ABSOLUTE_X	@E1
FE	INC	RMW	T	T	ABSOLUTE_X	@E6
FF	ISC	RMW	F	T	ABSOLUTE_X	@E3
